
URL                                                                     | Module                                          | Name                                                 | Decorator
/wf/api/interval-schedule/                                              | workflow.views.PeriodicIntervalScheduleViewSet  | intervalschedule-list                                | 
/wf/api/interval-schedule/<pk>/                                         | workflow.views.PeriodicIntervalScheduleViewSet  | intervalschedule-detail                              | 
/wf/api/interval-schedule/<pk>\.<format>/                               | workflow.views.PeriodicIntervalScheduleViewSet  | intervalschedule-detail                              | 
/wf/api/interval-schedule\.<format>/                                    | workflow.views.PeriodicIntervalScheduleViewSet  | intervalschedule-list                                | 
/wf/api/jinja-editor/                                                   | dynamic_variable.views.JinjaEditorView          | jinja-template-view                                  | 
/wf/api/manual-wf-input/                                                | workflow.views.WorkflowInputView                | manual-workflow-input-list                           | 
/wf/api/manual-wf-input/<pk>/                                           | workflow.views.WorkflowInputView                | manual-workflow-input-detail                         | 
/wf/api/manual-wf-input/<pk>/retrieve_wfinput/                          | workflow.views.WorkflowInputView                | manual-workflow-input-retrieve-wfinput               | 
/wf/api/manual-wf-input/<pk>/retrieve_wfinput\.<format>/                | workflow.views.WorkflowInputView                | manual-workflow-input-retrieve-wfinput               | 
/wf/api/manual-wf-input/<pk>\.<format>/                                 | workflow.views.WorkflowInputView                | manual-workflow-input-detail                         | 
/wf/api/manual-wf-input/list_wfinput/                                   | workflow.views.WorkflowInputView                | manual-workflow-input-list-wfinput                   | 
/wf/api/manual-wf-input/list_wfinput\.<format>/                         | workflow.views.WorkflowInputView                | manual-workflow-input-list-wfinput                   | 
/wf/api/manual-wf-input\.<format>/                                      | workflow.views.WorkflowInputView                | manual-workflow-input-list                           | 
/wf/api/query/                                                          | workflow.views.WorkflowQueryViewSet             | workflowview-list                                    | 
/wf/api/query/<pk>/                                                     | workflow.views.WorkflowQueryViewSet             | workflowview-detail                                  | 
/wf/api/query/<pk>\.<format>/                                           | workflow.views.WorkflowQueryViewSet             | workflowview-detail                                  | 
/wf/api/query/context/                                                  | workflow.views.WorkflowQueryViewSet             | workflowview-context                                 | 
/wf/api/query/context\.<format>/                                        | workflow.views.WorkflowQueryViewSet             | workflowview-context                                 | 
/wf/api/query/vocab/                                                    | workflow.views.WorkflowQueryViewSet             | workflowview-vocab                                   | 
/wf/api/query/vocab\.<format>/                                          | workflow.views.WorkflowQueryViewSet             | workflowview-vocab                                   | 
/wf/api/query/workflow_logs/                                            | workflow.views.WorkflowQueryViewSet             | workflowview-workflow-logs                           | 
/wf/api/query/workflow_logs\.<format>/                                  | workflow.views.WorkflowQueryViewSet             | workflowview-workflow-logs                           | 
/wf/api/query\.<format>/                                                | workflow.views.WorkflowQueryViewSet             | workflowview-list                                    | 
/wf/api/scheduled/                                                      | workflow.views.PeriodicWorkflowViewSet          | periodic task-list                                   | 
/wf/api/scheduled/<pk>/                                                 | workflow.views.PeriodicWorkflowViewSet          | periodic task-detail                                 | 
/wf/api/scheduled/<pk>\.<format>/                                       | workflow.views.PeriodicWorkflowViewSet          | periodic task-detail                                 | 
/wf/api/scheduled/trigger-now/                                          | workflow.views.PeriodicWorkflowViewSet          | periodic task-trigger                                | 
/wf/api/scheduled/trigger-now\.<format>/                                | workflow.views.PeriodicWorkflowViewSet          | periodic task-trigger                                | 
/wf/api/scheduled\.<format>/                                            | workflow.views.PeriodicWorkflowViewSet          | periodic task-list                                   | 
/wf/api/steps/                                                          | workflow.views.StepViewSet                      | step-list                                            | 
/wf/api/steps/<pk>/                                                     | workflow.views.StepViewSet                      | step-detail                                          | 
/wf/api/steps/<pk>\.<format>/                                           | workflow.views.StepViewSet                      | step-detail                                          | 
/wf/api/steps/context/                                                  | workflow.views.StepViewSet                      | step-context                                         | 
/wf/api/steps/context\.<format>/                                        | workflow.views.StepViewSet                      | step-context                                         | 
/wf/api/steps/vocab/                                                    | workflow.views.StepViewSet                      | step-vocab                                           | 
/wf/api/steps/vocab\.<format>/                                          | workflow.views.StepViewSet                      | step-vocab                                           | 
/wf/api/steps\.<format>/                                                | workflow.views.StepViewSet                      | step-list                                            | 
/wf/api/workflows/                                                      | workflow.views.WorkflowViewSet                  | workflow-list                                        | 
/wf/api/workflows/<pk>/                                                 | workflow.views.WorkflowViewSet                  | workflow-detail                                      | 
/wf/api/workflows/<pk>/approval/                                        | workflow.views.WorkflowViewSet                  | workflow-approval                                    | 
/wf/api/workflows/<pk>/approval\.<format>/                              | workflow.views.WorkflowViewSet                  | workflow-approval                                    | 
/wf/api/workflows/<pk>/proxy/                                           | workflow.views.WorkflowViewSet                  | workflow-proxy                                       | 
/wf/api/workflows/<pk>/proxy\.<format>/                                 | workflow.views.WorkflowViewSet                  | workflow-proxy                                       | 
/wf/api/workflows/<pk>/refresh_settings/                                | workflow.views.WorkflowViewSet                  | workflow-refresh-settings                            | 
/wf/api/workflows/<pk>/refresh_settings\.<format>/                      | workflow.views.WorkflowViewSet                  | workflow-refresh-settings                            | 
/wf/api/workflows/<pk>/resume/                                          | workflow.views.WorkflowViewSet                  | workflow-resume                                      | 
/wf/api/workflows/<pk>/resume\.<format>/                                | workflow.views.WorkflowViewSet                  | workflow-resume                                      | 
/wf/api/workflows/<pk>/retry/                                           | workflow.views.WorkflowViewSet                  | workflow-retry                                       | 
/wf/api/workflows/<pk>/retry\.<format>/                                 | workflow.views.WorkflowViewSet                  | workflow-retry                                       | 
/wf/api/workflows/<pk>/start/                                           | workflow.views.WorkflowViewSet                  | workflow-start                                       | 
/wf/api/workflows/<pk>/start\.<format>/                                 | workflow.views.WorkflowViewSet                  | workflow-start                                       | 
/wf/api/workflows/<pk>/wfinput_resume/                                  | workflow.views.WorkflowViewSet                  | workflow-wfinput-resume                              | 
/wf/api/workflows/<pk>/wfinput_resume\.<format>/                        | workflow.views.WorkflowViewSet                  | workflow-wfinput-resume                              | 
/wf/api/workflows/<pk>\.<format>/                                       | workflow.views.WorkflowViewSet                  | workflow-detail                                      | 
